@relation scores_train-weka.filters.unsupervised.attribute.NumericToNominal-R4

@attribute RF numeric
@attribute AB numeric
@attribute NB numeric
@attribute y {0,1}

@data
0.233104,0.469863,0.991136,0
0.103892,0.439932,0.032446,0
0.093997,0.439986,0.032151,0
0.102754,0.439927,0.038611,0
0.121258,0.442087,0.031119,0
0.096131,0.439893,0.02436,0
0.223639,0.469677,0.876943,0
0.084503,0.440525,0.007517,0
0.152377,0.463403,0.114751,0
0.101124,0.441021,0.038167,0
0.143492,0.463358,0.074115,0
0.087181,0.437714,0.013619,0
0.090474,0.440504,0.023484,0
0.09147,0.439959,0.028813,0
0.107354,0.442426,0.165387,0
0.096374,0.440261,0.012462,0
0.092331,0.439784,0.023535,0
0.093518,0.43982,0.043464,0
0.122548,0.440846,0.231569,0
0.087686,0.439747,0.035559,0
0.069896,0.439138,0.008461,0
0.105795,0.439964,0.063676,0
0.093225,0.440744,0.086718,0
0.1167,0.4412,0.055581,0
0.098986,0.440524,0.191082,0
0.081363,0.438064,0.023674,0
0.104016,0.43993,0.060605,0
0.100254,0.439709,0.034587,0
0.099318,0.440991,0.033458,0
0.119387,0.442519,0.043639,1
0.121838,0.441493,0.056025,0
0.175634,0.451849,0.892777,0
0.110206,0.442221,0.161692,0
0.112921,0.440967,0.030503,0
0.10754,0.44002,0.059587,1
0.090185,0.441,0.012778,0
0.111726,0.441569,0.055716,0
0.148031,0.463317,0.103705,1
0.07442,0.439029,0.02627,0
0.110923,0.440006,0.065819,0
0.112917,0.44103,0.028135,0
0.091524,0.440563,0.021212,0
0.104003,0.441047,0.018634,0
0.124157,0.441056,0.086168,0
0.124358,0.442678,0.065845,0
0.098622,0.439837,0.067954,0
0.107314,0.440905,0.048664,0
0.13605,0.441375,0.193919,0
0.077806,0.439452,0.012552,0
0.103484,0.439893,0.03847,0
0.101826,0.441276,0.033933,0
0.105424,0.439781,0.041957,0
0.103115,0.440908,0.047499,1
0.110102,0.441539,0.087205,0
0.122261,0.441311,0.084523,0
0.100181,0.440658,0.018297,0
0.145099,0.441511,0.259618,1
0.122075,0.440824,0.392155,0
0.089547,0.439884,0.038297,0
0.149455,0.463355,0.080536,0
0.099782,0.439807,0.044659,0
0.083456,0.439614,0.021459,0
0.102457,0.439906,0.029287,0
0.138399,0.462807,0.051747,0
0.103394,0.440855,0.045922,0
0.087075,0.440299,0.02836,0
0.099992,0.439771,0.017358,0
0.162854,0.463342,0.157148,0
0.104265,0.439906,0.087829,0
0.14575,0.464058,0.052782,0
0.129068,0.442712,0.278817,0
0.121856,0.442377,0.03197,0
0.165218,0.464086,0.164307,1
0.120471,0.441333,0.062156,0
0.074748,0.439029,0.007801,0
0.087942,0.439893,0.03373,0
0.120988,0.439939,0.076282,0
0.089459,0.439821,0.033713,0
0.100442,0.439927,0.058192,0
0.108676,0.44002,0.047977,0
0.09115,0.440533,0.020432,0
0.133739,0.462922,0.029247,1
0.120368,0.442343,0.084347,0
0.090234,0.439837,0.034712,0
0.13339,0.462508,0.016467,0
0.143342,0.463339,0.056025,0
0.102413,0.441226,0.018416,0
0.108211,0.439983,0.046595,0
0.091661,0.440369,0.032883,0
0.107038,0.439988,0.040666,0
0.111332,0.441503,0.068141,0
0.080932,0.439175,0.015727,0
0.088386,0.441041,0.016809,0
0.102025,0.439874,0.057952,0
0.161836,0.463788,0.524202,0
0.104357,0.439631,0.088137,0
0.110573,0.439935,0.050925,0
0.13479,0.441138,0.246641,0
0.108434,0.439906,0.067745,0
0.144246,0.463175,0.120425,0
0.121154,0.441157,0.083871,0
0.109152,0.441086,0.026155,0
0.128082,0.442673,0.049306,0
0.100555,0.440266,0.034309,0
0.09319,0.439638,0.032978,0
0.227233,0.466539,0.998545,0
0.11891,0.441364,0.077755,0
0.118657,0.440726,0.020596,0
0.108117,0.441328,0.035081,0
0.122996,0.442433,0.076991,0
0.111859,0.441263,0.056842,0
0.094968,0.44104,0.021,0
0.089774,0.440758,0.013971,0
0.105374,0.440535,0.020815,0
0.145675,0.463298,0.093315,0
0.09653,0.441429,0.031276,0
0.103969,0.43991,0.065478,0
0.071396,0.438973,0.00647,0
0.081105,0.439373,0.009355,1
0.103688,0.440007,0.08646,0
0.103681,0.440049,0.048675,0
0.180753,0.449731,0.795563,0
0.08677,0.439188,0.016304,0
0.105278,0.4414,0.039608,0
0.084615,0.439669,0.01107,0
0.109349,0.440474,0.49746,0
0.073987,0.438951,0.012023,0
0.108674,0.440429,0.020902,0
0.109995,0.441208,0.043115,0
0.104365,0.440588,0.026188,0
0.085324,0.439582,0.020727,0
0.089007,0.439731,0.026248,0
0.109048,0.440634,0.019425,0
0.109947,0.44075,0.049398,0
0.114434,0.440989,0.031653,0
0.174973,0.463246,0.365583,0
0.097278,0.44061,0.027653,0
0.089611,0.439456,0.012599,0
0.096802,0.4399,0.052145,0
0.098115,0.441183,0.028306,1
0.215988,0.470322,0.997939,0
0.083053,0.439571,0.026708,0
0.078809,0.439164,0.006989,0
0.116034,0.441067,0.06828,0
0.120002,0.441522,0.172947,0
0.119429,0.440913,0.088415,0
0.106354,0.439863,0.041687,0
0.099397,0.440815,0.037655,1
0.13649,0.441226,0.182033,0
0.085221,0.440486,0.015427,0
0.090624,0.439856,0.024434,0
0.109004,0.439969,0.030657,1
0.111535,0.439939,0.045988,0
0.080474,0.439614,0.018557,0
0.091094,0.43957,0.020689,0
0.220284,0.475127,0.999152,0
0.090534,0.439706,0.031558,0
0.133066,0.442585,0.06691,0
0.105112,0.44091,0.045641,0
0.09918,0.439877,0.044724,0
0.101934,0.439751,0.03976,0
0.108333,0.44237,0.041537,0
0.115727,0.44117,0.056877,0
0.077224,0.439605,0.004328,0
0.094069,0.439765,0.043036,0
0.097783,0.439587,0.020666,1
0.114613,0.441114,0.048652,0
0.105816,0.440414,0.01985,0
0.073781,0.439175,0.012389,0
0.103095,0.441995,0.008514,0
0.106419,0.440994,0.035076,1
0.110089,0.441434,0.029423,0
0.108177,0.441526,0.031794,0
0.091058,0.439587,0.029534,0
0.114167,0.440964,0.02691,0
0.097207,0.437955,0.029582,0
0.136602,0.463687,0.08876,0
0.140375,0.463262,0.070644,0
0.124821,0.441119,0.332212,0
0.102841,0.441226,0.024493,0
0.106112,0.44092,0.015935,0
0.088594,0.439724,0.031962,0
0.114418,0.440469,0.069986,0
0.075944,0.439558,0.039055,0
0.128148,0.462593,0.032331,0
0.090042,0.439821,0.057326,0
0.109199,0.439988,0.057492,0
0.114273,0.441123,0.043282,0
0.135975,0.462922,0.05176,0
0.091805,0.439717,0.029945,0
0.144239,0.463205,0.051581,0
0.113392,0.440783,0.081539,0
0.167097,0.464716,0.218352,1
0.080438,0.439376,0.010484,0
0.084399,0.439947,0.012095,0
0.078838,0.439347,0.015934,0
0.086844,0.440038,0.011573,0
0.116707,0.440945,0.084702,1
0.06849,0.437141,0.005016,0
0.150796,0.463723,0.108631,0
0.107386,0.440025,0.036104,0
0.116859,0.441211,0.047363,1
0.09539,0.440655,0.026458,0
0.099695,0.440948,0.066021,0
0.143969,0.463369,0.022403,0
0.075866,0.439621,0.014866,0
0.078027,0.439606,0.005532,0
0.100753,0.439626,0.041216,0
0.105136,0.440839,0.04119,0
0.100266,0.439962,0.030403,0
0.180923,0.464653,0.486552,0
0.115442,0.441153,0.054884,0
0.069238,0.439103,0.012099,0
0.101155,0.440804,0.025499,0
0.119191,0.440913,0.083866,0
0.089359,0.439731,0.025549,0
0.193523,0.450704,0.948489,1
0.107431,0.44145,0.033459,0
0.250559,0.47032,0.989796,0
0.121082,0.441489,0.052473,1
0.118312,0.442471,0.053732,0
0.150023,0.441324,0.451968,0
0.183616,0.450061,0.862746,0
0.110574,0.440025,0.052093,0
0.101433,0.44105,0.031517,0
0.101145,0.439948,0.046858,0
0.100124,0.43939,0.02788,0
0.151467,0.463373,0.135925,1
0.090504,0.439653,0.028207,0
0.104554,0.441054,0.046528,0
0.098095,0.439821,0.032496,0
0.20333,0.469299,0.999217,0
0.108002,0.43993,0.052992,0
0.072056,0.4388,0.007402,0
0.144197,0.464114,0.574694,1
0.145902,0.463073,0.061881,0
0.140433,0.462837,0.043364,0
0.104233,0.44002,0.066584,0
0.112555,0.441001,0.049842,1
0.135913,0.442698,0.109264,0
0.097722,0.441049,0.024842,0
0.156349,0.443931,0.556669,1
0.139367,0.463262,0.077231,0
0.0962,0.439634,0.049814,0
0.110065,0.441071,0.080862,0
0.104402,0.440918,0.038833,0
0.086246,0.43966,0.029084,0
0.148924,0.463399,0.142176,0
0.083235,0.439643,0.008069,0
0.184693,0.470022,0.911963,0
0.159514,0.463355,0.272702,0
0.112314,0.440838,0.038014,0
