@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,2086,0,16299,0,1,1,0.113462,1,0.886538,0.2038,1,1,0.051732
1,2086,0,16298,1,0.999939,1,0.113468,1,0.886532,0.20381,0.999946,1.000054,0.051846
2,2086,0,16297,2,0.999877,1,0.113474,1,0.886526,0.20382,0.999891,1.000109,0.051918
3,2086,0,16296,3,0.999816,1,0.113481,1,0.886519,0.20383,0.999837,1.000163,0.052781
4,2086,0,16295,4,0.999755,1,0.113487,1,0.886513,0.20384,0.999782,1.000218,0.053162
5,2085,1,16295,4,0.999755,0.999521,0.113439,0.999521,0.886561,0.203753,0.999728,0.999793,0.053326
6,2085,1,16294,5,0.999693,0.999521,0.113445,0.999521,0.886555,0.203763,0.999674,0.999847,0.053396
7,2085,1,16293,6,0.999632,0.999521,0.113451,0.999521,0.886549,0.203772,0.999619,0.999901,0.053522
8,2085,1,16292,7,0.999571,0.999521,0.113457,0.999521,0.886543,0.203782,0.999565,0.999956,0.053536
9,2085,1,16291,8,0.999509,0.999521,0.113463,0.999521,0.886537,0.203792,0.99951,1.00001,0.053692
10,2085,1,16290,9,0.999448,0.999521,0.113469,0.999521,0.886531,0.203802,0.999456,1.000065,0.053698
11,2085,1,16289,10,0.999386,0.999521,0.113476,0.999521,0.886524,0.203812,0.999402,1.000119,0.053884
12,2085,1,16288,11,0.999325,0.999521,0.113482,0.999521,0.886518,0.203822,0.999347,1.000173,0.053923
13,2085,1,16287,12,0.999264,0.999521,0.113488,0.999521,0.886512,0.203832,0.999293,1.000228,0.053974
14,2085,1,16286,13,0.999202,0.999521,0.113494,0.999521,0.886506,0.203842,0.999239,1.000282,0.05402
15,2085,1,16285,14,0.999141,0.999521,0.1135,0.999521,0.8865,0.203852,0.999184,1.000337,0.05403
16,2085,1,16284,15,0.99908,0.999521,0.113506,0.999521,0.886494,0.203862,0.99913,1.000391,0.054045
17,2085,1,16283,16,0.999018,0.999521,0.113513,0.999521,0.886487,0.203872,0.999075,1.000446,0.054206
18,2085,1,16282,17,0.998957,0.999521,0.113519,0.999521,0.886481,0.203882,0.999021,1.0005,0.054253
19,2085,1,16281,18,0.998896,0.999521,0.113525,0.999521,0.886475,0.203892,0.998967,1.000555,0.054276
20,2085,1,16280,19,0.998834,0.999521,0.113531,0.999521,0.886469,0.203902,0.998912,1.000609,0.054315
21,2085,1,16279,20,0.998773,0.999521,0.113537,0.999521,0.886463,0.203912,0.998858,1.000664,0.054339
22,2085,1,16278,21,0.998712,0.999521,0.113544,0.999521,0.886456,0.203922,0.998803,1.000718,0.054349
23,2085,1,16277,22,0.99865,0.999521,0.11355,0.999521,0.88645,0.203932,0.998749,1.000773,0.054372
24,2085,1,16276,23,0.998589,0.999521,0.113556,0.999521,0.886444,0.203942,0.998695,1.000827,0.054433
25,2085,1,16275,24,0.998528,0.999521,0.113562,0.999521,0.886438,0.203952,0.99864,1.000882,0.054482
26,2085,1,16274,25,0.998466,0.999521,0.113568,0.999521,0.886432,0.203962,0.998586,1.000936,0.054574
27,2085,1,16273,26,0.998405,0.999521,0.113574,0.999521,0.886426,0.203972,0.998531,1.000991,0.054644
28,2085,1,16272,27,0.998343,0.999521,0.113581,0.999521,0.886419,0.203982,0.998477,1.001045,0.054648
29,2085,1,16271,28,0.998282,0.999521,0.113587,0.999521,0.886413,0.203992,0.998423,1.0011,0.054708
30,2085,1,16270,29,0.998221,0.999521,0.113593,0.999521,0.886407,0.204002,0.998368,1.001154,0.054738
31,2085,1,16269,30,0.998159,0.999521,0.113599,0.999521,0.886401,0.204012,0.998314,1.001209,0.054743
32,2085,1,16268,31,0.998098,0.999521,0.113605,0.999521,0.886395,0.204022,0.998259,1.001263,0.054847
33,2085,1,16267,32,0.998037,0.999521,0.113612,0.999521,0.886388,0.204032,0.998205,1.001318,0.054864
34,2085,1,16266,33,0.997975,0.999521,0.113618,0.999521,0.886382,0.204042,0.998151,1.001372,0.054888
35,2085,1,16265,34,0.997914,0.999521,0.113624,0.999521,0.886376,0.204052,0.998096,1.001427,0.054944
36,2085,1,16264,35,0.997853,0.999521,0.11363,0.999521,0.88637,0.204062,0.998042,1.001482,0.054973
37,2085,1,16263,36,0.997791,0.999521,0.113636,0.999521,0.886364,0.204072,0.997987,1.001536,0.054991
38,2084,2,16263,36,0.997791,0.999041,0.113588,0.999041,0.886412,0.203984,0.997933,1.00111,0.054993
39,2084,2,16262,37,0.99773,0.999041,0.113594,0.999041,0.886406,0.203994,0.997879,1.001165,0.055023
40,2084,2,16261,38,0.997669,0.999041,0.1136,0.999041,0.8864,0.204004,0.997824,1.00122,0.05503
41,2084,2,16260,39,0.997607,0.999041,0.113607,0.999041,0.886393,0.204014,0.99777,1.001274,0.055049
42,2084,2,16259,40,0.997546,0.999041,0.113613,0.999041,0.886387,0.204024,0.997716,1.001329,0.055054
43,2084,2,16258,41,0.997485,0.999041,0.113619,0.999041,0.886381,0.204034,0.997661,1.001383,0.05508
44,2084,2,16257,42,0.997423,0.999041,0.113625,0.999041,0.886375,0.204044,0.997607,1.001438,0.055115
45,2084,2,16256,43,0.997362,0.999041,0.113631,0.999041,0.886369,0.204054,0.997552,1.001493,0.055129
46,2084,2,16255,44,0.9973,0.999041,0.113638,0.999041,0.886362,0.204064,0.997498,1.001547,0.055178
47,2083,3,16255,44,0.9973,0.998562,0.113589,0.998562,0.886411,0.203976,0.997444,1.001121,0.055191
48,2083,3,16254,45,0.997239,0.998562,0.113595,0.998562,0.886405,0.203986,0.997389,1.001176,0.055225
49,2083,3,16253,46,0.997178,0.998562,0.113602,0.998562,0.886398,0.203996,0.997335,1.00123,0.055228
50,2083,3,16252,47,0.997116,0.998562,0.113608,0.998562,0.886392,0.204006,0.99728,1.001285,0.055231
51,2083,3,16251,48,0.997055,0.998562,0.113614,0.998562,0.886386,0.204016,0.997226,1.00134,0.055232
52,2083,3,16250,49,0.996994,0.998562,0.11362,0.998562,0.88638,0.204026,0.997172,1.001394,0.055245
53,2083,3,16249,50,0.996932,0.998562,0.113626,0.998562,0.886374,0.204036,0.997117,1.001449,0.055284
54,2083,3,16248,51,0.996871,0.998562,0.113633,0.998562,0.886367,0.204046,0.997063,1.001503,0.055317
55,2083,3,16247,52,0.99681,0.998562,0.113639,0.998562,0.886361,0.204056,0.997008,1.001558,0.055334
56,2083,3,16246,53,0.996748,0.998562,0.113645,0.998562,0.886355,0.204066,0.996954,1.001613,0.055354
57,2083,3,16245,54,0.996687,0.998562,0.113651,0.998562,0.886349,0.204076,0.9969,1.001667,0.05536
58,2083,3,16244,55,0.996626,0.998562,0.113657,0.998562,0.886343,0.204086,0.996845,1.001722,0.055374
59,2083,3,16243,56,0.996564,0.998562,0.113664,0.998562,0.886336,0.204096,0.996791,1.001777,0.055396
60,2083,3,16242,57,0.996503,0.998562,0.11367,0.998562,0.88633,0.204106,0.996736,1.001831,0.05541
61,2083,3,16241,58,0.996441,0.998562,0.113676,0.998562,0.886324,0.204116,0.996682,1.001886,0.055471
62,2083,3,16240,59,0.99638,0.998562,0.113682,0.998562,0.886318,0.204126,0.996628,1.001941,0.055472
63,2083,3,16239,60,0.996319,0.998562,0.113688,0.998562,0.886312,0.204136,0.996573,1.001995,0.055521
64,2082,4,16239,60,0.996319,0.998082,0.11364,0.998082,0.88636,0.204048,0.996519,1.001569,0.055557
65,2082,4,16238,61,0.996257,0.998082,0.113646,0.998082,0.886354,0.204058,0.996465,1.001624,0.055561
66,2082,4,16237,62,0.996196,0.998082,0.113652,0.998082,0.886348,0.204068,0.99641,1.001678,0.055569
67,2082,4,16236,63,0.996135,0.998082,0.113659,0.998082,0.886341,0.204078,0.996356,1.001733,0.055584
68,2082,4,16235,64,0.996073,0.998082,0.113665,0.998082,0.886335,0.204088,0.996301,1.001788,0.055645
69,2082,4,16234,65,0.996012,0.998082,0.113671,0.998082,0.886329,0.204098,0.996247,1.001842,0.055647
70,2082,4,16233,66,0.995951,0.998082,0.113677,0.998082,0.886323,0.204108,0.996193,1.001897,0.055683
71,2082,4,16232,67,0.995889,0.998082,0.113684,0.998082,0.886316,0.204118,0.996138,1.001952,0.05569
72,2082,4,16231,68,0.995828,0.998082,0.11369,0.998082,0.88631,0.204128,0.996084,1.002007,0.055698
73,2082,4,16230,69,0.995767,0.998082,0.113696,0.998082,0.886304,0.204138,0.996029,1.002061,0.055811
74,2082,4,16229,70,0.995705,0.998082,0.113702,0.998082,0.886298,0.204148,0.995975,1.002116,0.055863
75,2082,4,16228,71,0.995644,0.998082,0.113708,0.998082,0.886292,0.204158,0.995921,1.002171,0.055874
76,2082,4,16227,72,0.995583,0.998082,0.113715,0.998082,0.886285,0.204168,0.995866,1.002225,0.055875
77,2082,4,16226,73,0.995521,0.998082,0.113721,0.998082,0.886279,0.204178,0.995812,1.00228,0.055895
