@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,2643,0,20410,0,1,1,0.114649,1,0.885351,0.205713,1,1,0
1,2017,626,16379,4031,0.802499,0.763148,0.109643,0.763148,0.890357,0.191739,0.797987,0.956341,0.083333
2,2016,627,16359,4051,0.801519,0.76277,0.109714,0.76277,0.890286,0.191836,0.797076,0.956959,0.086207
3,2015,628,16347,4063,0.800931,0.762391,0.109738,0.762391,0.890262,0.191859,0.796512,0.957162,0.090909
4,2010,633,16326,4084,0.799902,0.760499,0.10962,0.760499,0.89038,0.19162,0.795385,0.956141,0.092593
5,2008,635,16294,4116,0.798334,0.759743,0.109715,0.759743,0.890285,0.19174,0.79391,0.956964,0.09434
6,2007,636,16286,4124,0.797942,0.759364,0.109714,0.759364,0.890286,0.191727,0.793519,0.956958,0.096154
7,2007,636,16276,4134,0.797452,0.759364,0.109774,0.759364,0.890226,0.191819,0.793085,0.957481,0.098039
8,2006,637,16249,4161,0.796129,0.758986,0.109888,0.758986,0.890112,0.19198,0.791871,0.958472,0.102041
9,2003,640,16229,4181,0.795149,0.757851,0.109862,0.757851,0.890138,0.191904,0.790873,0.958246,0.108696
10,2003,640,16207,4203,0.794072,0.757851,0.109995,0.757851,0.890005,0.192107,0.789919,0.959403,0.11236
11,1997,646,16149,4261,0.79123,0.755581,0.110052,0.755581,0.889948,0.192121,0.787143,0.959903,0.119048
12,1996,647,16142,4268,0.790887,0.755202,0.110045,0.755202,0.889955,0.192099,0.786796,0.959846,0.121951
13,1996,647,16137,4273,0.790642,0.755202,0.110076,0.755202,0.889924,0.192145,0.786579,0.96011,0.125
14,1994,649,16121,4289,0.789858,0.754446,0.110075,0.754446,0.889925,0.192119,0.785798,0.960101,0.128205
15,1992,651,16092,4318,0.788437,0.753689,0.110153,0.753689,0.889847,0.192213,0.784453,0.960783,0.131579
16,1992,651,16086,4324,0.788143,0.753689,0.110189,0.753689,0.889811,0.192269,0.784193,0.961101,0.135135
17,1988,655,16063,4347,0.787016,0.752176,0.110132,0.752176,0.889868,0.192133,0.783022,0.960606,0.138889
18,1985,658,16053,4357,0.786526,0.75104,0.110045,0.75104,0.889955,0.191964,0.782458,0.959848,0.142857
19,1983,660,16042,4368,0.785987,0.750284,0.110014,0.750284,0.889986,0.191891,0.781894,0.959572,0.144509
20,1983,660,15997,4413,0.783782,0.750284,0.110289,0.750284,0.889711,0.19231,0.779942,0.961974,0.147059
21,1982,661,15993,4417,0.783586,0.749905,0.110264,0.749905,0.889736,0.192259,0.779725,0.961756,0.148515
22,1982,661,15969,4441,0.782411,0.749905,0.110412,0.749905,0.889588,0.192483,0.778684,0.963042,0.151515
23,1973,670,15925,4485,0.780255,0.7465,0.110236,0.7465,0.889764,0.192104,0.776385,0.961508,0.152439
24,1970,673,15855,4555,0.776825,0.745365,0.110519,0.745365,0.889481,0.192496,0.773218,0.963978,0.153846
25,1968,675,15833,4577,0.775747,0.744608,0.110556,0.744608,0.889444,0.192526,0.772177,0.964297,0.15625
26,1968,675,15804,4606,0.774326,0.744608,0.110736,0.744608,0.889264,0.192799,0.770919,0.965871,0.16
27,1967,676,15788,4622,0.773542,0.74423,0.110786,0.74423,0.889214,0.192862,0.770182,0.966304,0.16129
28,1958,685,15749,4661,0.771632,0.740825,0.110578,0.740825,0.889422,0.192432,0.7681,0.964491,0.163934
29,1958,685,15736,4674,0.770995,0.740825,0.110659,0.740825,0.889341,0.192555,0.767536,0.965199,0.166667
30,1954,689,15689,4721,0.768692,0.739311,0.110752,0.739311,0.889248,0.192645,0.765323,0.966012,0.168539
31,1952,691,15665,4745,0.767516,0.738555,0.110802,0.738555,0.889198,0.192695,0.764196,0.966447,0.172414
32,1950,693,15638,4772,0.766193,0.737798,0.110871,0.737798,0.889129,0.192773,0.762938,0.967049,0.175439
33,1943,700,15558,4852,0.762273,0.735149,0.111022,0.735149,0.888978,0.192911,0.759164,0.968368,0.178571
34,1940,703,15534,4876,0.761098,0.734014,0.111022,0.734014,0.888978,0.192872,0.757992,0.968366,0.185185
35,1939,704,15519,4891,0.760363,0.733636,0.111067,0.733636,0.888933,0.192926,0.757298,0.968754,0.1875
36,1930,713,15459,4951,0.757423,0.730231,0.11099,0.730231,0.88901,0.192692,0.754305,0.968084,0.189873
37,1926,717,15439,4971,0.756443,0.728717,0.110913,0.728717,0.889087,0.192523,0.753264,0.967413,0.192308
38,1925,718,15427,4983,0.755855,0.728339,0.110938,0.728339,0.889062,0.192548,0.7527,0.967635,0.194805
39,1922,721,15408,5002,0.754924,0.727204,0.110906,0.727204,0.889094,0.19246,0.751746,0.967353,0.196078
40,1920,723,15374,5036,0.753258,0.726447,0.111021,0.726447,0.888979,0.192607,0.750184,0.968358,0.196335
41,1913,730,15258,5152,0.747575,0.723799,0.111409,0.723799,0.888591,0.193096,0.744849,0.971739,0.2
42,1911,732,15205,5205,0.744978,0.723042,0.11165,0.723042,0.88835,0.193431,0.742463,0.973842,0.206186
43,1905,738,15130,5280,0.741303,0.720772,0.111829,0.720772,0.888171,0.193617,0.738949,0.975401,0.208333
44,1903,740,15107,5303,0.740176,0.720015,0.111875,0.720015,0.888125,0.19366,0.737865,0.975809,0.211864
45,1899,744,15085,5325,0.739098,0.718502,0.111811,0.718502,0.888189,0.193509,0.736737,0.975248,0.21361
46,1811,832,13643,6767,0.668447,0.685206,0.117186,0.685206,0.882814,0.200144,0.670368,1.022134,0.215054
47,1809,834,13625,6785,0.667565,0.684449,0.117209,0.684449,0.882791,0.200144,0.669501,1.022328,0.216049
48,1807,836,13582,6828,0.665458,0.683693,0.117422,0.683693,0.882578,0.200421,0.667549,1.024184,0.217391
49,1803,840,13531,6879,0.662959,0.682179,0.117582,0.682179,0.882418,0.20059,0.665163,1.025582,0.218688
50,1779,864,13018,7392,0.637825,0.673099,0.120227,0.673099,0.879773,0.204014,0.641869,1.048655,0.21987
51,1770,873,12884,7526,0.631259,0.669694,0.120786,0.669694,0.879214,0.20466,0.635666,1.053531,0.220228
52,1763,880,12698,7712,0.622146,0.667045,0.121914,0.667045,0.878086,0.206151,0.627294,1.06337,0.222222
53,1761,882,12655,7755,0.620039,0.666288,0.122156,0.666288,0.877844,0.20646,0.625342,1.065479,0.223529
54,1747,896,12445,7965,0.60975,0.660991,0.123098,0.660991,0.876902,0.207544,0.615625,1.073692,0.227273
55,1738,905,12393,8017,0.607202,0.657586,0.122992,0.657586,0.877008,0.207225,0.612979,1.072771,0.232558
56,1737,906,12379,8031,0.606516,0.657208,0.123052,0.657208,0.876948,0.207292,0.612328,1.073293,0.238095
57,1730,913,12341,8069,0.604655,0.654559,0.122948,0.654559,0.877052,0.207012,0.610376,1.072387,0.241935
58,1728,915,12327,8083,0.603969,0.653802,0.122946,0.653802,0.877054,0.206971,0.609682,1.072366,0.243056
59,1727,916,12325,8085,0.603871,0.653424,0.122901,0.653424,0.877099,0.206888,0.609552,1.071975,0.243902
60,1726,917,12312,8098,0.603234,0.653046,0.122952,0.653046,0.877048,0.206942,0.608945,1.072422,0.244565
61,1722,921,12279,8131,0.601617,0.651532,0.122991,0.651532,0.877009,0.206921,0.60734,1.072764,0.245902
62,1721,922,12259,8151,0.600637,0.651154,0.123104,0.651154,0.876896,0.207063,0.606429,1.073752,0.247525
63,1716,927,12140,8270,0.594806,0.649262,0.123845,0.649262,0.876155,0.208013,0.60105,1.080214,0.248619
64,1699,944,11883,8527,0.582215,0.64283,0.125092,0.64283,0.874908,0.20943,0.589164,1.091088,0.248708
65,1699,944,11882,8528,0.582166,0.64283,0.125101,0.64283,0.874899,0.209443,0.589121,1.091169,0.25
66,1689,954,11826,8584,0.579422,0.639047,0.124972,0.639047,0.875028,0.209061,0.586258,1.090044,0.252066
67,1662,981,11551,8859,0.565948,0.628831,0.125785,0.628831,0.874215,0.209637,0.573158,1.097134,0.253165
68,1660,983,11536,8874,0.565213,0.628074,0.125796,0.628074,0.874204,0.209609,0.57242,1.097226,0.256252
69,1660,983,11535,8875,0.565164,0.628074,0.125805,0.628074,0.874195,0.209622,0.572377,1.097309,0.25641
70,1654,989,11498,8912,0.563351,0.625804,0.12576,0.625804,0.87424,0.209433,0.570511,1.096918,0.260201
71,1584,1059,10749,9661,0.526654,0.599319,0.128436,0.599319,0.871564,0.211538,0.534985,1.120255,0.260417
72,1580,1063,10732,9678,0.525821,0.597806,0.12833,0.597806,0.87167,0.211301,0.534074,1.119332,0.260586
73,1580,1063,10731,9679,0.525772,0.597806,0.128341,0.597806,0.871659,0.211315,0.53403,1.119423,0.263158
74,1572,1071,10652,9758,0.521901,0.594779,0.128599,0.594779,0.871401,0.211475,0.530256,1.121681,0.266667
75,1571,1072,10605,9805,0.519598,0.5944,0.129024,0.5944,0.870976,0.212025,0.528174,1.125387,0.267857
76,1570,1073,10571,9839,0.517932,0.594022,0.129314,0.594022,0.870686,0.212392,0.526656,1.127913,0.268595
77,1570,1073,10570,9840,0.517883,0.594022,0.129325,0.594022,0.870675,0.212406,0.526613,1.128006,0.269414
