@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,2643,0,20410,0,1,1,0.114649,1,0.885351,0.205713,1,1,0.000006
1,2643,0,20409,1,0.999951,1,0.114654,1,0.885346,0.205721,0.999957,1.000043,0.000095
2,2643,0,20408,2,0.999902,1,0.114659,1,0.885341,0.205729,0.999913,1.000087,0.000099
3,2643,0,20407,3,0.999853,1,0.114664,1,0.885336,0.205737,0.99987,1.00013,0.000103
4,2643,0,20406,4,0.999804,1,0.114669,1,0.885331,0.205745,0.999826,1.000174,0.000112
5,2643,0,20405,5,0.999755,1,0.114674,1,0.885326,0.205753,0.999783,1.000217,0.000117
6,2643,0,20404,6,0.999706,1,0.114679,1,0.885321,0.205761,0.99974,1.00026,0.000117
7,2643,0,20403,7,0.999657,1,0.114684,1,0.885316,0.205769,0.999696,1.000304,0.000132
8,2643,0,20402,8,0.999608,1,0.114689,1,0.885311,0.205777,0.999653,1.000347,0.000138
9,2643,0,20401,9,0.999559,1,0.114694,1,0.885306,0.205785,0.99961,1.000391,0.000141
10,2643,0,20400,10,0.99951,1,0.114699,1,0.885301,0.205793,0.999566,1.000434,0.000151
11,2643,0,20398,12,0.999412,1,0.114709,1,0.885291,0.205809,0.999479,1.000521,0.000159
12,2643,0,20396,14,0.999314,1,0.114719,1,0.885281,0.205825,0.999393,1.000608,0.000163
13,2643,0,20395,15,0.999265,1,0.114724,1,0.885276,0.205833,0.999349,1.000651,0.000164
14,2643,0,20394,16,0.999216,1,0.114728,1,0.885272,0.205841,0.999306,1.000695,0.000169
15,2643,0,20393,17,0.999167,1,0.114733,1,0.885267,0.205849,0.999263,1.000738,0.000169
16,2643,0,20392,18,0.999118,1,0.114738,1,0.885262,0.205857,0.999219,1.000781,0.00017
17,2643,0,20391,19,0.999069,1,0.114743,1,0.885257,0.205865,0.999176,1.000825,0.000171
18,2643,0,20388,22,0.998922,1,0.114758,1,0.885242,0.205889,0.999046,1.000955,0.000182
