@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,2643,0,20410,0,1,1,0.114649,1,0.885351,0.205713,1,1,0
1,2643,0,20409,1,0.999951,1,0.114654,1,0.885346,0.205721,0.999957,1.000043,0
2,2643,0,20408,2,0.999902,1,0.114659,1,0.885341,0.205729,0.999913,1.000087,0
3,2642,1,20408,2,0.999902,0.999622,0.11462,0.999622,0.88538,0.205659,0.99987,0.999752,0
4,2642,1,20407,3,0.999853,0.999622,0.114625,0.999622,0.885375,0.205667,0.999826,0.999795,0
5,2642,1,20406,4,0.999804,0.999622,0.11463,0.999622,0.88537,0.205675,0.999783,0.999838,0
6,2642,1,20405,5,0.999755,0.999622,0.114635,0.999622,0.885365,0.205683,0.99974,0.999882,0
7,2642,1,20404,6,0.999706,0.999622,0.11464,0.999622,0.88536,0.205691,0.999696,0.999925,0
8,2642,1,20403,7,0.999657,0.999622,0.114645,0.999622,0.885355,0.205699,0.999653,0.999969,0
9,2642,1,20402,8,0.999608,0.999622,0.11465,0.999622,0.88535,0.205707,0.99961,1.000012,0.000011
10,2642,1,20401,9,0.999559,0.999622,0.114655,0.999622,0.885345,0.205715,0.999566,1.000055,0.000066
11,2642,1,20400,10,0.99951,0.999622,0.11466,0.999622,0.88534,0.205723,0.999523,1.000099,0.00007
12,2642,1,20399,11,0.999461,0.999622,0.114665,0.999622,0.885335,0.205731,0.999479,1.000142,0.000074
13,2642,1,20398,12,0.999412,0.999622,0.11467,0.999622,0.88533,0.205739,0.999436,1.000186,0.000081
14,2642,1,20397,13,0.999363,0.999622,0.114675,0.999622,0.885325,0.205747,0.999393,1.000229,0.000086
15,2642,1,20396,14,0.999314,0.999622,0.11468,0.999622,0.88532,0.205755,0.999349,1.000272,0.000086
16,2642,1,20395,15,0.999265,0.999622,0.114685,0.999622,0.885315,0.205763,0.999306,1.000316,0.000087
17,2642,1,20394,16,0.999216,0.999622,0.11469,0.999622,0.88531,0.205771,0.999263,1.000359,0.000101
18,2642,1,20392,18,0.999118,0.999622,0.1147,0.999622,0.8853,0.205787,0.999176,1.000446,0.000108
19,2642,1,20391,19,0.999069,0.999622,0.114705,0.999622,0.885295,0.205795,0.999132,1.00049,0.000108
20,2642,1,20387,23,0.998873,0.999622,0.114725,0.999622,0.885275,0.205827,0.998959,1.000663,0.000109
21,2642,1,20386,24,0.998824,0.999622,0.11473,0.999622,0.88527,0.205835,0.998916,1.000707,0.000113
22,2642,1,20385,25,0.998775,0.999622,0.114735,0.999622,0.885265,0.205843,0.998872,1.00075,0.000119
23,2642,1,20384,26,0.998726,0.999622,0.11474,0.999622,0.88526,0.205851,0.998829,1.000794,0.00012
24,2642,1,20383,27,0.998677,0.999622,0.114745,0.999622,0.885255,0.205859,0.998785,1.000837,0.000121
25,2642,1,20382,28,0.998628,0.999622,0.11475,0.999622,0.88525,0.205867,0.998742,1.000881,0.000127
26,2642,1,20381,29,0.998579,0.999622,0.114755,0.999622,0.885245,0.205875,0.998699,1.000924,0.000128
27,2642,1,20380,30,0.99853,0.999622,0.11476,0.999622,0.88524,0.205883,0.998655,1.000968,0.000129
28,2642,1,20379,31,0.998481,0.999622,0.114765,0.999622,0.885235,0.205892,0.998612,1.001011,0.000131
29,2642,1,20376,34,0.998334,0.999622,0.11478,0.999622,0.88522,0.205916,0.998482,1.001142,0.000135
30,2642,1,20375,35,0.998285,0.999622,0.114785,0.999622,0.885215,0.205924,0.998438,1.001185,0.000136
31,2642,1,20374,36,0.998236,0.999622,0.11479,0.999622,0.88521,0.205932,0.998395,1.001229,0.000147
32,2642,1,20373,37,0.998187,0.999622,0.114795,0.999622,0.885205,0.20594,0.998352,1.001272,0.00015
33,2642,1,20372,38,0.998138,0.999622,0.1148,0.999622,0.8852,0.205948,0.998308,1.001316,0.000151
34,2642,1,20371,39,0.998089,0.999622,0.114805,0.999622,0.885195,0.205956,0.998265,1.001359,0.000155
35,2642,1,20370,40,0.99804,0.999622,0.11481,0.999622,0.88519,0.205964,0.998221,1.001403,0.000155
36,2642,1,20369,41,0.997991,0.999622,0.114815,0.999622,0.885185,0.205972,0.998178,1.001446,0.000155
37,2642,1,20368,42,0.997942,0.999622,0.11482,0.999622,0.88518,0.20598,0.998135,1.00149,0.000156
38,2642,1,20367,43,0.997893,0.999622,0.114825,0.999622,0.885175,0.205988,0.998091,1.001533,0.000157
39,2642,1,20366,44,0.997844,0.999622,0.11483,0.999622,0.88517,0.205996,0.998048,1.001577,0.000157
40,2642,1,20365,45,0.997795,0.999622,0.114835,0.999622,0.885165,0.206004,0.998005,1.00162,0.000158
41,2642,1,20364,46,0.997746,0.999622,0.11484,0.999622,0.88516,0.206012,0.997961,1.001664,0.000159
42,2642,1,20363,47,0.997697,0.999622,0.114845,0.999622,0.885155,0.20602,0.997918,1.001707,0.000159
43,2642,1,20362,48,0.997648,0.999622,0.11485,0.999622,0.88515,0.206028,0.997874,1.001751,0.000163
44,2642,1,20361,49,0.997599,0.999622,0.114855,0.999622,0.885145,0.206036,0.997831,1.001794,0.000163
45,2642,1,20360,50,0.99755,0.999622,0.11486,0.999622,0.88514,0.206044,0.997788,1.001838,0.000164
46,2642,1,20359,51,0.997501,0.999622,0.114865,0.999622,0.885135,0.206052,0.997744,1.001882,0.000166
47,2642,1,20356,54,0.997354,0.999622,0.11488,0.999622,0.88512,0.206076,0.997614,1.002012,0.000168
48,2642,1,20346,64,0.996864,0.999622,0.11493,0.999622,0.88507,0.206157,0.99718,1.002448,0.000169
49,2642,1,20345,65,0.996815,0.999622,0.114935,0.999622,0.885065,0.206165,0.997137,1.002492,0.000173
50,2642,1,20344,66,0.996766,0.999622,0.11494,0.999622,0.88506,0.206173,0.997094,1.002535,0.000175
51,2642,1,20342,68,0.996668,0.999622,0.11495,0.999622,0.88505,0.206189,0.997007,1.002623,0.000175
52,2642,1,20341,69,0.996619,0.999622,0.114955,0.999622,0.885045,0.206197,0.996964,1.002666,0.000182
53,2642,1,20340,70,0.99657,0.999622,0.11496,0.999622,0.88504,0.206205,0.99692,1.00271,0.000183
54,2642,1,20339,71,0.996521,0.999622,0.114965,0.999622,0.885035,0.206213,0.996877,1.002753,0.000184
55,2642,1,20338,72,0.996472,0.999622,0.11497,0.999622,0.88503,0.206221,0.996833,1.002797,0.000186
56,2642,1,20337,73,0.996423,0.999622,0.114975,0.999622,0.885025,0.206229,0.99679,1.002841,0.000191
57,2642,1,20336,74,0.996374,0.999622,0.11498,0.999622,0.88502,0.206237,0.996747,1.002884,0.000194
58,2642,1,20335,75,0.996325,0.999622,0.114985,0.999622,0.885015,0.206245,0.996703,1.002928,0.000195
59,2642,1,20333,77,0.996227,0.999622,0.114995,0.999622,0.885005,0.206261,0.996616,1.003015,0.000196
60,2642,1,20332,78,0.996178,0.999622,0.115,0.999622,0.885,0.206269,0.996573,1.003059,0.000197
61,2642,1,20331,79,0.996129,0.999622,0.115005,0.999622,0.884995,0.206277,0.99653,1.003103,0.000199
62,2642,1,20330,80,0.99608,0.999622,0.11501,0.999622,0.88499,0.206285,0.996486,1.003146,0.0002
63,2642,1,20329,81,0.996031,0.999622,0.115015,0.999622,0.884985,0.206293,0.996443,1.00319,0.000202
64,2642,1,20328,82,0.995982,0.999622,0.11502,0.999622,0.88498,0.206301,0.9964,1.003234,0.000202
65,2642,1,20326,84,0.995884,0.999622,0.11503,0.999622,0.88497,0.206318,0.996313,1.003321,0.000202
66,2642,1,20324,86,0.995786,0.999622,0.11504,0.999622,0.88496,0.206334,0.996226,1.003408,0.000203
67,2642,1,20323,87,0.995737,0.999622,0.115045,0.999622,0.884955,0.206342,0.996183,1.003452,0.000204
68,2642,1,20322,88,0.995688,0.999622,0.11505,0.999622,0.88495,0.20635,0.996139,1.003496,0.000204
69,2642,1,20315,95,0.995345,0.999622,0.115085,0.999622,0.884915,0.206406,0.995836,1.003802,0.000204
70,2642,1,20314,96,0.995296,0.999622,0.11509,0.999622,0.88491,0.206414,0.995792,1.003846,0.000208
71,2642,1,20313,97,0.995247,0.999622,0.115095,0.999622,0.884905,0.206422,0.995749,1.003889,0.000209
72,2642,1,20312,98,0.995198,0.999622,0.1151,0.999622,0.8849,0.20643,0.995706,1.003933,0.00021
73,2642,1,20311,99,0.995149,0.999622,0.115105,0.999622,0.884895,0.206439,0.995662,1.003977,0.000211
74,2642,1,20309,101,0.995051,0.999622,0.115115,0.999622,0.884885,0.206455,0.995575,1.004064,0.000212
75,2642,1,20308,102,0.995002,0.999622,0.11512,0.999622,0.88488,0.206463,0.995532,1.004108,0.000212
76,2642,1,20307,103,0.994953,0.999622,0.115125,0.999622,0.884875,0.206471,0.995489,1.004152,0.000213
77,2642,1,20305,105,0.994855,0.999622,0.115135,0.999622,0.884865,0.206487,0.995402,1.004239,0.000215
78,2642,1,20300,110,0.99461,0.999622,0.11516,0.999622,0.88484,0.206527,0.995185,1.004458,0.000226
79,2642,1,20297,113,0.994463,0.999622,0.115175,0.999622,0.884825,0.206551,0.995055,1.004589,0.000228
80,2642,1,20296,114,0.994415,0.999622,0.11518,0.999622,0.88482,0.20656,0.995011,1.004633,0.000228
81,2642,1,20295,115,0.994366,0.999622,0.115185,0.999622,0.884815,0.206568,0.994968,1.004677,0.000228
82,2642,1,20294,116,0.994317,0.999622,0.11519,0.999622,0.88481,0.206576,0.994925,1.004721,0.000229
83,2642,1,20293,117,0.994268,0.999622,0.115195,0.999622,0.884805,0.206584,0.994881,1.004765,0.000237
84,2642,1,20292,118,0.994219,0.999622,0.1152,0.999622,0.8848,0.206592,0.994838,1.004808,0.00024
85,2642,1,20286,124,0.993925,0.999622,0.11523,0.999622,0.88477,0.20664,0.994578,1.005071,0.00024
86,2642,1,20284,126,0.993827,0.999622,0.11524,0.999622,0.88476,0.206656,0.994491,1.005159,0.000241
87,2642,1,20282,128,0.993729,0.999622,0.11525,0.999622,0.88475,0.206673,0.994404,1.005247,0.000245
88,2642,1,20281,129,0.99368,0.999622,0.115255,0.999622,0.884745,0.206681,0.994361,1.005291,0.000246
