@relation InstanceResultListener

@attribute Key_Dataset {'diabetic_data_normalized_all_diag_compress-weka.filters.unsupervised.attribute.NumericToNominal-R7,8,9-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R23-39,41-45'}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest}
@attribute Key_Scheme_options {'-I 10 -K 0 -S 1 -depth 3 -num-slots 4','-I 25 -K 0 -S 1 -depth 3 -num-slots 4','-I 50 -K 0 -S 1 -depth 3 -num-slots 4','-I 100 -K 0 -S 1 -depth 3 -num-slots 4','-I 150 -K 0 -S 1 -depth 3 -num-slots 4','-I 200 -K 0 -S 1 -depth 3 -num-slots 4','-I 250 -K 0 -S 1 -depth 3 -num-slots 4'}
@attribute Key_Scheme_version_ID {1116839470751428698}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

'diabetic_data_normalized_all_diag_compress-weka.filters.unsupervised.attribute.NumericToNominal-R7,8,9-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R23-39,41-45',1,1,weka.classifiers.trees.RandomForest,'-I 10 -K 0 -S 1 -depth 3 -num-slots 4',1116839470751428698,20141218.103,67843,33922,19075,14847,0,56.231944,43.768056,0,0.084061,0.368982,0.425527,96.271556,97.204402,46258.334603,44061.792455,2196.542148,1.363668,1.298915,0.064753,2889.176429,0.085171,211871.671929,0.134526,1594,0.063517,1402,0.936483,20671,0.865474,10255,0.532043,0.134526,0.214752,0.119304,0.641459,0.463885,0.562319,0.485642,0.514358,0.437681,0.570249,0.562319,0.458472,0.136455,0.662265,0.56646,0.310078,0.562319,3.704,0.2,0.171601,0.171601,1664481,16088572,8049295,99.988208,99.76613,?,0.441241
'diabetic_data_normalized_all_diag_compress-weka.filters.unsupervised.attribute.NumericToNominal-R7,8,9-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R23-39,41-45',1,2,weka.classifiers.trees.RandomForest,'-I 10 -K 0 -S 1 -depth 3 -num-slots 4',1116839470751428698,20141218.103,67843,33922,19047,14875,0,56.149402,43.850598,0,0.077663,0.369067,0.425527,96.294181,97.205444,46257.708406,44042.381659,2215.326748,1.363649,1.298343,0.065306,2905.779721,0.085661,213087.797154,0.116475,1380,0.053004,1170,0.946996,20904,0.883525,10468,0.541176,0.116475,0.191693,0.114763,0.644721,0.466085,0.561494,0.490928,0.509072,0.438506,0.573728,0.561494,0.451307,0.135931,0.664081,0.568395,0.303762,0.561494,2.656,0.23,0.249602,0.218401,1403728,16088572,8049295,99.991156,99.670813,?,0.442923
'diabetic_data_normalized_all_diag_compress-weka.filters.unsupervised.attribute.NumericToNominal-R7,8,9-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R23-39,41-45',1,3,weka.classifiers.trees.RandomForest,'-I 10 -K 0 -S 1 -depth 3 -num-slots 4',1116839470751428698,20141218.103,67844,33921,18885,15036,0,55.673477,44.326523,0,0.061927,0.371516,0.427328,96.934077,97.61842,46254.545079,44444.349913,1810.195166,1.363596,1.310231,0.053365,2367.714968,0.069801,173626.840649,0.095459,1131,0.042858,946,0.957142,21127,0.904541,10717,0.544535,0.095459,0.162442,0.104597,0.642526,0.46721,0.556735,0.50083,0.49917,0.443265,0.527986,0.556735,0.438662,0.115208,0.659455,0.561851,0.290421,0.556735,3.403,0.237,0.202801,0.234002,1436840,16088809,8049058,100,99.958728,?,0.444482
'diabetic_data_normalized_all_diag_compress-weka.filters.unsupervised.attribute.NumericToNominal-R7,8,9-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R23-39,41-45',1,1,weka.classifiers.trees.RandomForest,'-I 25 -K 0 -S 1 -depth 3 -num-slots 4',1116839470751428698,20141218.1031,67843,33922,19105,14817,0,56.320382,43.679618,0,0.081472,0.369128,0.42514,96.309731,97.116038,46258.334603,43996.50347,2261.831133,1.363668,1.29699,0.066677,2872.578392,0.084682,210654.489851,0.120685,1430,0.053368,1178,0.946632,20895,0.879315,10419,0.548313,0.120685,0.197828,0.120468,0.64925,0.471871,0.563204,0.48891,0.51109,0.436796,0.607399,0.563204,0.453439,0.13984,0.671609,0.575965,0.304007,0.563204,3.488,0.423,0.343202,0.421203,3546408,16088572,8049295,100,99.968555,?,0.436874
'diabetic_data_normalized_all_diag_compress-weka.filters.unsupervised.attribute.NumericToNominal-R7,8,9-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R23-39,41-45',1,2,weka.classifiers.trees.RandomForest,'-I 25 -K 0 -S 1 -depth 3 -num-slots 4',1116839470751428698,20141218.1031,67843,33922,19042,14880,0,56.134662,43.865338,0,0.077513,0.369732,0.425609,96.467577,97.224217,46257.708406,44078.659481,2179.048925,1.363649,1.299412,0.064237,2836.784017,0.083627,208028.176729,0.118332,1402,0.054408,1201,0.945592,20873,0.881668,10446,0.538609,0.118332,0.194035,0.114495,0.648018,0.470375,0.561347,0.490645,0.509355,0.438653,0.558735,0.561347,0.451337,0.132454,0.669147,0.572636,0.302253,0.561347,4.673,0.401,0.327602,0.390003,3272942,16088572,8049295,99.997052,99.946937,?,0.438334
'diabetic_data_normalized_all_diag_compress-weka.filters.unsupervised.attribute.NumericToNominal-R7,8,9-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R23-39,41-45',1,3,weka.classifiers.trees.RandomForest,'-I 25 -K 0 -S 1 -depth 3 -num-slots 4',1116839470751428698,20141218.1031,67844,33921,19057,14864,0,56.180537,43.819463,0,0.079107,0.369399,0.425314,96.381668,97.158256,46254.545079,44069.903134,2184.641945,1.363596,1.299192,0.064404,2818.626532,0.083094,206692.624035,0.122384,1450,0.055498,1225,0.944502,20848,0.877616,10398,0.542056,0.122384,0.199683,0.118312,0.653177,0.477332,0.561805,0.489752,0.510248,0.438195,0.493131,0.561805,0.45302,0.131376,0.672625,0.576646,0.30353,0.561805,6.287,0.565,0.436803,0.546004,3665080,16088809,8049058,100,99.942022,?,0.437435
'diabetic_data_normalized_all_diag_compress-weka.filters.unsupervised.attribute.NumericToNominal-R7,8,9-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R23-39,41-45',1,1,weka.classifiers.trees.RandomForest,'-I 50 -K 0 -S 1 -depth 3 -num-slots 4',1116839470751428698,20141218.1031,67843,33922,19088,14834,0,56.270267,43.729733,0,0.078888,0.369209,0.425161,96.330754,97.120917,46258.334603,43999.808143,2258.52646,1.363668,1.297088,0.06658,2843.651419,0.083829,208533.191182,0.115537,1369,0.049835,1100,0.950165,20973,0.884463,10480,0.554475,0.115537,0.191228,0.120576,0.650753,0.473381,0.562703,0.490951,0.509049,0.437297,0.608968,0.562703,0.450969,0.138028,0.672778,0.577824,0.301566,0.562703,5.443,0.77,0.639604,0.764405,6677485,16088572,8049295,100,99.991156,?,0.437746
'diabetic_data_normalized_all_diag_compress-weka.filters.unsupervised.attribute.NumericToNominal-R7,8,9-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R23-39,41-45',1,2,weka.classifiers.trees.RandomForest,'-I 50 -K 0 -S 1 -depth 3 -num-slots 4',1116839470751428698,20141218.1031,67843,33922,19015,14907,0,56.055068,43.944932,0,0.072816,0.369829,0.425699,96.492922,97.244718,46257.708406,44086.957159,2170.751248,1.363649,1.299657,0.063992,2777.698218,0.081885,203695.273299,0.107951,1279,0.047431,1047,0.952569,21027,0.892049,10569,0.549871,0.107951,0.180471,0.114166,0.648144,0.471915,0.560551,0.494419,0.505581,0.439449,0.539339,0.560551,0.446509,0.12968,0.66945,0.57435,0.297536,0.560551,8.365,0.855,0.686404,0.858006,7108651,16088572,8049295,100,99.875204,?,0.440974
'diabetic_data_normalized_all_diag_compress-weka.filters.unsupervised.attribute.NumericToNominal-R7,8,9-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R23-39,41-45',1,3,weka.classifiers.trees.RandomForest,'-I 50 -K 0 -S 1 -depth 3 -num-slots 4',1116839470751428698,20141218.1031,67844,33921,18945,14976,0,55.850358,44.149642,0,0.06388,0.37012,0.425732,96.569693,97.253734,46254.545079,44140.898357,2113.646722,1.363596,1.301285,0.062311,2653.350173,0.078221,194572.747933,0.091408,1083,0.03792,837,0.96208,21236,0.908592,10765,0.564063,0.091408,0.157321,0.110352,0.654809,0.479224,0.558504,0.500856,0.499144,0.441496,0.609521,0.558504,0.437982,0.124221,0.674361,0.578666,0.289399,0.558504,10.263,1.278,0.967206,1.263608,7394117,16088809,8049058,100,99.97052,?,0.442353
