Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,,,,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureOutOfBagError
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,1,weka.classifiers.trees.RandomForest,'-I 10 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,13775,11225,0,55.1,44.9,0,0.065381096,0.373271822,0.429046767,96.94294177,97.784672,34214.72418,32938.49988,1276.224301,1.368588967,1.317539995,0.051048972,1777.261713,0.071090469,129851.8309,0.962087087,12815,0.88510274,10338,0.11489726,1342,0.037912913,505,0.553491988,0.962087087,0.702711595,0.146838143,0.658402071,0.684334529,0.551,0.491052824,0.508947176,0.449,0.543464618,0.551,0.4380682,0.115391032,0.644229192,0.545900365,0.294676424,0.551,0.572,0.145,0.1092007,0.1248008,973089,1.07E+07,5331484,99.988,99.73866667,?,0.45016467
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,2,weka.classifiers.trees.RandomForest,'-I 10 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,14232,10768,0,56.928,43.072,0,0.132158065,0.369411471,0.425998697,95.93955903,97.08835089,34216.38372,32531.11698,1685.266743,1.368655349,1.301244679,0.06741067,2376.261525,0.095050461,173620.6831,0.91006006,12122,0.753167808,8797,0.246832192,2883,0.08993994,1198,0.579473206,0.91006006,0.708081428,0.211797716,0.677090413,0.703481793,0.56928,0.444555974,0.555444026,0.43072,0.50850085,0.56928,0.492970786,0.16630265,0.661514411,0.562735259,0.344868944,0.56928,0.335,0.032,0.0312002,0.0312002,768662,1.07E+07,5331484,100,99.77333333,?,0.437213343
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,3,weka.classifiers.trees.RandomForest,'-I 10 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,14040,10960,0,56.16,43.84,0,0.104290644,0.369789742,0.42626748,96.03779948,97.1496086,34216.38372,32562.01773,1654.36599,1.368655349,1.302480709,0.06617464,2288.824689,0.091552988,167232.1426,0.931906907,12413,0.8125,9490,0.1875,2190,0.068093093,907,0.566726019,0.931906907,0.704823553,0.180834204,0.670208976,0.696049536,0.5616,0.465076406,0.534923594,0.4384,0.547224816,0.5616,0.472400457,0.147953549,0.657424484,0.560413163,0.327701892,0.5616,0.316,0.037,0.0312002,0.0468003,983465,1.07E+07,5331484,99.98,99.55066667,?,0.441900875
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,1,weka.classifiers.trees.RandomForest,'-I 25 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,13861,11139,0,55.444,44.556,0,0.07388087,0.371877551,0.427522444,96.58083374,97.43726133,34214.72418,32722.69681,1492.02737,1.368588967,1.308907872,0.059681095,1977.547488,0.0791019,144485.2832,0.962762763,12824,0.875856164,10230,0.124143836,1450,0.037237237,496,0.556259217,0.962762763,0.705119041,0.161838455,0.673133218,0.697804746,0.55444,0.486610421,0.513389579,0.44556,0.541683612,0.55444,0.443805814,0.126674624,0.65894355,0.560022819,0.299501089,0.55444,0.727,0.094,0.0780005,0.0624004,2596084,1.07E+07,5331484,99.992,99.76533333,?,0.443106586
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,2,weka.classifiers.trees.RandomForest,'-I 25 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,14110,10890,0,56.44,43.56,0,0.110780224,0.37001905,0.425880963,96.09735266,97.06151852,34216.38372,32519.56283,1696.820888,1.368655349,1.300782513,0.067872836,2288.698712,0.091547948,167222.9381,0.934534535,12448,0.802311644,9371,0.197688356,2309,0.065465465,872,0.570511939,0.934534535,0.708500526,0.197961587,0.68246056,0.709815873,0.5644,0.460861786,0.539138214,0.4356,0.526888837,0.5644,0.475403963,0.153822705,0.666787032,0.569097592,0.328298888,0.5644,0.689,0.074,0.0780005,0.0780005,2169478,1.07E+07,5331484,99.996,99.79466667,?,0.435526132
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,3,weka.classifiers.trees.RandomForest,'-I 25 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,14090,10910,0,56.36,43.64,0,0.104093467,0.370232268,0.426156467,96.15272756,97.12430792,34216.38372,32547.0929,1669.290816,1.368655349,1.301883716,0.066771633,2247.391982,0.089895679,164204.8769,0.943468468,12567,0.825599315,9643,0.174400685,2037,0.056531532,753,0.565826204,0.943468468,0.707402195,0.186765785,0.676363509,0.70050122,0.5636,0.467707515,0.532292485,0.4364,0.540214378,0.5636,0.469672764,0.15118279,0.663378496,0.56680838,0.323261082,0.5636,0.729,0.073,0.0624004,0.0780005,2164981,1.07E+07,5331484,99.988,99.75333333,?,0.438546313
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,1,weka.classifiers.trees.RandomForest,'-I 50 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,13915,11085,0,55.66,44.34,0,0.079966219,0.371543008,0.427151887,96.49394916,97.35280697,34214.72418,32670.40422,1544.319964,1.368588967,1.306816169,0.061772799,2029.290936,0.081171637,148265.8077,0.961036036,12801,0.86755137,10133,0.13244863,1547,0.038963964,519,0.558166914,0.961036036,0.706184145,0.169398224,0.675138635,0.700351424,0.5566,0.483165859,0.516834141,0.4434,0.572831264,0.5566,0.448614575,0.13401781,0.660359648,0.56252368,0.303839783,0.5566,1.359,0.165,0.156001,0.156001,5054019,1.07E+07,5331484,99.992,99.664,?,0.44024
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,2,weka.classifiers.trees.RandomForest,'-I 50 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,14066,10934,0,56.264,43.736,0,0.100297889,0.370682152,0.426186306,96.26956646,97.13110841,34216.38372,32555.24807,1661.135647,1.368655349,1.302209923,0.066445426,2195.473578,0.087818943,160411.4776,0.949474474,12647,0.83005137,9695,0.16994863,1985,0.050525526,673,0.566063915,0.949474474,0.709270372,0.193296228,0.683338405,0.710724949,0.56264,0.469514287,0.530485713,0.43736,0.491055107,0.56264,0.465249596,0.148775167,0.667655783,0.570435628,0.318470292,0.56264,1.513,0.148,0.156001,0.156001,4519023,1.07E+07,5331484,100,99.82,?,0.43576
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,3,weka.classifiers.trees.RandomForest,'-I 50 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,14144,10856,0,56.576,43.424,0,0.107623476,0.37035599,0.42600998,96.18485908,97.09092249,34216.38372,32523.69023,1692.693486,1.368655349,1.300947609,0.067707739,2232.541062,0.089301642,163119.7998,0.948123123,12629,0.826113014,9649,0.173886986,2031,0.051876877,691,0.566882126,0.948123123,0.709534243,0.195428181,0.679941997,0.704252258,0.56576,0.466677918,0.533322082,0.43424,0.555742052,0.56576,0.470854223,0.158137696,0.667004036,0.570588934,0.324014621,0.56576,1.267,0.137,0.156001,0.1248008,4433634,1.07E+07,5331484,99.984,99.756,?,0.43798
'complete_cleared_all_diag_compress_train-weka.filters.unsupervised.attribute.Remove-R20-36,38-42-weka.filters.unsupervised.attribute.NumericToNominal-R4,5,6',1,1,weka.classifiers.trees.RandomForest,'-I 100 -K 0 -S 1 -depth 3 -num-slots 6',1.12E+18,2.01E+07,50000,25000,13942,11058,0,55.768,44.232,0,0.083064949,0.371140668,0.426908453,96.3894568,97.2973257,34214.72418,32641.06125,1573.662929,1.368588967,1.30564245,0.062946517,2076.608276,0.083064331,151722.9481,0.96021021,12790,0.863184932,10082,0.136815068,1598,0.03978979,530,0.559199021,0.96021021,0.70678603,0.173468471,0.676056569,0.702000003,0.55768,0.48135066,0.51864934,0.44232,0.557397359,0.55768,0.450988157,0.136972758,0.661005688,0.563671938,0.305968276,0.55768,2.548,0.334,0.3432022,0.3276021,9620277,1.07E+07,5331484,99.992,99.67333333,?,0.43962
